Model,Threshold,Precision,Recall,F1,F2,ROC-AUC,Average Precision,Specificity,False Positive Rate,False Negative Rate,Review Rate,TN,FP,FN,TP
XGBoost,0.48000000000000004,0.95,0.8,0.8685714285714285,0.8260869565215596,0.96826107032068,0.811375553423567,0.999929392243738,7.060775626202538e-05,0.2,0.0014097909984844747,56647,4,19,76
XGBoost,0.49,0.95,0.8,0.8685714285714285,0.8260869565215596,0.96826107032068,0.811375553423567,0.999929392243738,7.060775626202538e-05,0.2,0.0014097909984844747,56647,4,19,76
XGBoost,0.5,0.95,0.8,0.8685714285714285,0.8260869565215596,0.96826107032068,0.811375553423567,0.999929392243738,7.060775626202538e-05,0.2,0.0014097909984844747,56647,4,19,76
XGBoost,0.51,0.95,0.8,0.8685714285714285,0.8260869565215596,0.96826107032068,0.811375553423567,0.999929392243738,7.060775626202538e-05,0.2,0.0014097909984844747,56647,4,19,76
XGBoost,0.52,0.95,0.8,0.8685714285714285,0.8260869565215596,0.96826107032068,0.811375553423567,0.999929392243738,7.060775626202538e-05,0.2,0.0014097909984844747,56647,4,19,76
XGBoost,0.53,0.9620253164556962,0.8,0.8735632183908046,0.8278867102394734,0.96826107032068,0.811375553423567,0.9999470441828034,5.2955817196519035e-05,0.2,0.0013921686110034187,56648,3,19,76
XGBoost,0.54,0.9620253164556962,0.8,0.8735632183908046,0.8278867102394734,0.96826107032068,0.811375553423567,0.9999470441828034,5.2955817196519035e-05,0.2,0.0013921686110034187,56648,3,19,76
XGBoost,0.55,0.9620253164556962,0.8,0.8735632183908046,0.8278867102394734,0.96826107032068,0.811375553423567,0.9999470441828034,5.2955817196519035e-05,0.2,0.0013921686110034187,56648,3,19,76
XGBoost,0.56,0.9620253164556962,0.8,0.8735632183908046,0.8278867102394734,0.96826107032068,0.811375553423567,0.9999470441828034,5.2955817196519035e-05,0.2,0.0013921686110034187,56648,3,19,76
XGBoost,0.5700000000000001,0.9620253164556962,0.8,0.8735632183908046,0.8278867102394734,0.96826107032068,0.811375553423567,0.9999470441828034,5.2955817196519035e-05,0.2,0.0013921686110034187,56648,3,19,76
XGBoost,0.5800000000000001,0.9743589743589743,0.8,0.8786127167630058,0.8296943231439281,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.2,0.0013745462235223629,56649,2,19,76
XGBoost,0.59,0.9743589743589743,0.8,0.8786127167630058,0.8296943231439281,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.2,0.0013745462235223629,56649,2,19,76
XGBoost,0.6,0.974025974025974,0.7894736842105263,0.872093023255814,0.8205689277897591,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.21052631578947367,0.0013569238360413068,56649,2,20,75
XGBoost,0.61,0.974025974025974,0.7894736842105263,0.872093023255814,0.8205689277897591,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.21052631578947367,0.0013569238360413068,56649,2,20,75
XGBoost,0.62,0.974025974025974,0.7894736842105263,0.872093023255814,0.8205689277897591,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.21052631578947367,0.0013569238360413068,56649,2,20,75
XGBoost,0.63,0.974025974025974,0.7894736842105263,0.872093023255814,0.8205689277897591,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.21052631578947367,0.0013569238360413068,56649,2,20,75
XGBoost,0.64,0.9736842105263158,0.7789473684210526,0.8654970760233919,0.811403508771756,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.22105263157894736,0.001339301448560251,56649,2,21,74
XGBoost,0.65,0.9736842105263158,0.7789473684210526,0.8654970760233919,0.811403508771756,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.22105263157894736,0.001339301448560251,56649,2,21,74
XGBoost,0.66,0.9736842105263158,0.7789473684210526,0.8654970760233919,0.811403508771756,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.22105263157894736,0.001339301448560251,56649,2,21,74
XGBoost,0.67,0.9736842105263158,0.7789473684210526,0.8654970760233919,0.811403508771756,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.22105263157894736,0.001339301448560251,56649,2,21,74
XGBoost,0.68,0.9736842105263158,0.7789473684210526,0.8654970760233919,0.811403508771756,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.22105263157894736,0.001339301448560251,56649,2,21,74
XGBoost,0.6900000000000001,0.9736842105263158,0.7789473684210526,0.8654970760233919,0.811403508771756,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.22105263157894736,0.001339301448560251,56649,2,21,74
XGBoost,0.7000000000000001,0.9736842105263158,0.7789473684210526,0.8654970760233919,0.811403508771756,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.22105263157894736,0.001339301448560251,56649,2,21,74
XGBoost,0.7100000000000001,0.9736842105263158,0.7789473684210526,0.8654970760233919,0.811403508771756,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.22105263157894736,0.001339301448560251,56649,2,21,74
XGBoost,0.72,0.9736842105263158,0.7789473684210526,0.8654970760233919,0.811403508771756,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.22105263157894736,0.001339301448560251,56649,2,21,74
XGBoost,0.73,0.9736842105263158,0.7789473684210526,0.8654970760233919,0.811403508771756,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.22105263157894736,0.001339301448560251,56649,2,21,74
XGBoost,0.74,0.9736842105263158,0.7789473684210526,0.8654970760233919,0.811403508771756,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.22105263157894736,0.001339301448560251,56649,2,21,74
XGBoost,0.75,0.9736842105263158,0.7789473684210526,0.8654970760233919,0.811403508771756,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.22105263157894736,0.001339301448560251,56649,2,21,74
XGBoost,0.76,0.9736842105263158,0.7789473684210526,0.8654970760233919,0.811403508771756,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.22105263157894736,0.001339301448560251,56649,2,21,74
XGBoost,0.77,0.9736842105263158,0.7789473684210526,0.8654970760233919,0.811403508771756,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.22105263157894736,0.001339301448560251,56649,2,21,74
XGBoost,0.78,0.9736842105263158,0.7789473684210526,0.8654970760233919,0.811403508771756,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.22105263157894736,0.001339301448560251,56649,2,21,74
XGBoost,0.79,0.9736842105263158,0.7789473684210526,0.8654970760233919,0.811403508771756,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.22105263157894736,0.001339301448560251,56649,2,21,74
XGBoost,0.8,0.9736842105263158,0.7789473684210526,0.8654970760233919,0.811403508771756,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.22105263157894736,0.001339301448560251,56649,2,21,74
XGBoost,0.81,0.9736842105263158,0.7789473684210526,0.8654970760233919,0.811403508771756,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.22105263157894736,0.001339301448560251,56649,2,21,74
XGBoost,0.8200000000000001,0.9736842105263158,0.7789473684210526,0.8654970760233919,0.811403508771756,0.96826107032068,0.811375553423567,0.999964696121869,3.530387813101269e-05,0.22105263157894736,0.001339301448560251,56649,2,21,74
XGBoost,0.8300000000000001,0.9866666666666667,0.7789473684210526,0.8705882352941177,0.8131868131866411,0.96826107032068,0.811375553423567,0.9999823480609344,1.7651939065506346e-05,0.22105263157894736,0.001321679061079195,56650,1,21,74
XGBoost,0.8400000000000001,0.9866666666666667,0.7789473684210526,0.8705882352941177,0.8131868131866411,0.96826107032068,0.811375553423567,0.9999823480609344,1.7651939065506346e-05,0.22105263157894736,0.001321679061079195,56650,1,21,74
XGBoost,0.85,0.9866666666666667,0.7789473684210526,0.8705882352941177,0.8131868131866411,0.96826107032068,0.811375553423567,0.9999823480609344,1.7651939065506346e-05,0.22105263157894736,0.001321679061079195,56650,1,21,74
